ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
173;15460,54;10822,57;26283,11;18833,59;45116,7
174;31912,93;14010,58;45923,52;40115,49;86039,01
175;18561,23;16847,11;35408,34;24741,62;60149,96
176;18701,75;20249,21;38950,96;19552,01;58502,98
177;4246,69;4317,88;8564,57;5367,36;13931,94
178;2065,89;616,4;2682,28;1266,27;3948,55
179;0;0;0;0;0
180;37786,51;24836,33;62622,84;57140,64;119763,48
181;28091,73;27844,62;55936,36;26605,68;82542,04
182;25008,17;15375,21;40383,38;25070,74;65454,12
183;27748,61;20858,54;48607,15;19100,25;67707,4
184;10781,99;10935,87;21717,86;21194,31;42912,18
185;12411,04;5792,71;18203,75;11688,25;29892
186;8926,58;2926,81;11853,39;5531,89;17385,29
187;22645,1;12183,28;34828,37;28324,84;63153,22
188;32658,82;21315,24;53974,06;23185,61;77159,67
189;31814,01;28625,64;60439,65;31511,47;91951,12
190;38215,38;24497,4;62712,78;20953,75;83666,53
191;20304,62;6495,52;26800,14;1575,24;28375,38
192;19155,14;9647,38;28802,52;22754,05;51556,57
193;12977,96;9296,46;22274,42;14980,72;37255,14
194;14504,37;3560,96;18065,33;16252,78;34318,11
195;20136,53;8593,46;28729,99;19545,38;48275,37
196;21528,16;8470,4;29998,56;20651,67;50650,23
197;20972,12;13614,77;34586,88;15222,85;49809,73
198;46703,16;28016,2;74719,35;27080,14;101799,5
199;38424,75;36798,5;75223,25;88348,02;163571,27
200;14351,41;10579,8;24931,21;27750,41;52681,62
201;39380,92;31453,94;70834,86;70041,11;140875,97
202;49767,96;19105,56;68873,53;25392,37;94265,9
203;29603,49;8924,82;38528,31;31450,55;69978,87
204;50035,63;32222;82257,63;84863,87;167121,51
205;45621,92;28895,19;74517,1;71614,5;146131,6
206;38907,23;31558,04;70465,27;30588,48;101053,75
207;37294,19;21309,04;58603,23;71619,4;130222,63
208;37498,29;36595,14;74093,43;26398,17;100491,6
209;26889,83;32483,89;59373,72;21368,86;80742,58
210;32377,87;41947,06;74324,93;20306,08;94631,01
211;44421,3;43659,34;88080,64;23286,11;111366,74
212;14329,93;15729,83;30059,76;24372,81;54432,57
213;36701,35;25031,7;61733,05;24270,03;86003,08
214;24715,62;11206,23;35921,85;16526,17;52448,02
215;21489,23;32428,43;53917,66;20467,72;74385,38
216;24251,99;23958,08;48210,07;21932,47;70142,54
217;19919,68;17632,81;37552,49;26898,22;64450,71
218;51266,67;32623,41;83890,08;51498,68;135388,75
219;29157,69;32078,7;61236,39;31440,82;92677,21
220;21104,13;17688,73;38792,86;24361,48;63154,35
221;33116,91;35025,7;68142,62;22041,76;90184,37
222;25184,27;33585,1;58769,38;20037,31;78806,68
223;16541,22;15424,39;31965,61;9096,63;41062,24
224;5829,83;3449,23;9279,05;3404,01;12683,06
225;20864,81;10980,29;31845,1;20370,14;52215,25
226;57473,72;47799,27;105273;70125,27;175398,27
227;46816,13;25978,38;72794,51;18353,42;91147,93
228;23226,76;14290,42;37517,18;23001,29;60518,47
229;109834,9;40886,89;150721,79;95546,81;246268,6
230;52443,56;19234,88;71678,44;47472,47;119150,91
231;26266,84;6707,19;32974,03;16500,39;49474,42
232;32425,61;13064,34;45489,95;29512;75001,96
233;36076,81;13239,27;49316,08;45227,99;94544,07
234;31665,97;19900,08;51566,05;53796,92;105362,97
235;39505,18;23537,58;63042,75;38056,84;101099,59
236;15970,43;13081,02;29051,45;13417,33;42468,78
237;15798,5;19453,73;35252,22;12051,5;47303,72
238;19282,3;16723,11;36005,41;7743,75;43749,16
239;33808,26;33287,03;67095,29;14112,18;81207,47
240;19821,65;20607,6;40429,25;15762,02;56191,27
241;12483,91;9464,46;21948,37;7619,43;29567,8
242;23250,02;9573,54;32823,56;19239,33;52062,89
243;24603,92;25763,76;50367,68;43281,1;93648,78
244;34827,43;25912,45;60739,88;49573,56;110313,43
245;11750,42;7666,92;19417,34;13710,5;33127,84
246;23437,88;13728,67;37166,55;9758,53;46925,07
247;69482,72;52544,98;122027,7;78276,25;200303,95
248;1441,25;4182,12;5623,37;359,23;5982,6
249;19432,43;24540,06;43972,49;20793,47;64765,96
250;16873,93;18117,82;34991,75;11388,95;46380,7
251;15416,75;17271,15;32687,91;6744,84;39432,75
252;15540,62;11306,63;26847,25;17743,53;44590,78
253;6899,63;3161,82;10061,45;3077,78;13139,23
254;48663,61;38157,3;86820,9;18922,74;105743,65
255;25845,1;61888,47;87733,57;41474,23;129207,8
256;19194,95;15420,76;34615,7;7915,73;42531,43
257;19379,37;22666,45;42045,82;18050,4;60096,22
258;42854,63;26695,94;69550,58;24451,96;94002,54
259;16440,79;12176,95;28617,74;19962,39;48580,13
260;21386,35;9546,38;30932,73;25712,24;56644,98
261;35034,14;26776,18;61810,33;22638,4;84448,73
262;34679,91;37093,69;71773,6;42578,83;114352,43
263;42342,09;24370,72;66712,8;48969,25;115682,05
264;46356,7;27453,03;73809,73;35563,75;109373,47
265;30779,14;29718,67;60497,81;39690,69;100188,5
266;6237,31;7819,8;14057,11;7928,6;21985,71
267;20318,53;16351,81;36670,34;18174,1;54844,44
268;12899,45;18128,52;31027,96;8756,79;39784,76
269;22969,67;26481,47;49451,14;16886,28;66337,42
270;8211,28;13943,48;22154,75;5318,48;27473,23
271;7571,36;13686,36;21257,72;1144,77;22402,49
272;13209,02;20722,91;33931,92;7927,56;41859,49
273;41770,5;44003,77;85774,27;34084,25;119858,51
274;48421,96;43526,77;91948,73;42543,62;134492,35
275;39875,62;35413,06;75288,68;37122,85;112411,53
276;53592,49;63338,44;116930,94;43409,73;160340,66
277;34791,42;45063,4;79854,82;44521,36;124376,19
278;72062,01;46137,29;118199,3;91624,94;209824,24
279;43691,67;12805,84;56497,51;45270,36;101767,87
280;40106,32;24965;65071,32;13757,34;78828,66
281;32236,78;38463,61;70700,39;14531,55;85231,95
282;26851,77;35942,98;62794,76;23930,29;86725,05
283;8046,5;5495,54;13542,03;5662,25;19204,28
284;37292,34;18868,31;56160,65;26147,44;82308,09
285;49458,7;45942,31;95401;74639,7;170040,7
286;25493,84;19794,53;45288,37;5220,93;50509,3
287;20351,83;29616,43;49968,26;19650,87;69619,12
288;26533,83;10748,77;37282,61;12752,55;50035,15
289;40832,07;24105,87;64937,95;30746,86;95684,81
290;34644,23;14595,96;49240,18;40837,31;90077,5
291;53243,35;44602,85;97846,21;34800,29;132646,49
292;31631,09;32422,68;64053,78;34201,18;98254,95
293;66475,83;27510,76;93986,59;51406,48;145393,08
294;71978,79;13288,99;85267,77;84813,24;170081,02
295;75044,35;36010,03;111054,38;58324,42;169378,81
296;4114,28;2907,61;7021,89;1950,91;8972,79
297;1939,67;1726,54;3666,2;666,62;4332,82
298;94625,74;34453,04;129078,78;91110,9;220189,68
299;5144,28;2555,7;7699,98;2430,79;10130,78
300;108000,35;101420,65;209421;61005,64;270426,64
301;21194,11;24215,03;45409,14;4510,17;49919,31
302;66893,15;34587,45;101480,6;18651,34;120131,94
303;86720,75;31389;118109,75;13775,95;131885,7
304;62728,77;36382,87;99111,64;65454,87;164566,51
305;84667,69;32607,89;117275,59;89001,52;206277,1
306;42400,01;11681,48;54081,49;46699,49;100780,98
307;72299,85;23517,16;95817,02;50117,77;145934,79
308;25366,86;5553,77;30920,64;30495,81;61416,44
309;42127,75;11861,66;53989,41;24536,34;78525,75
310;12348,24;6714,9;19063,13;10081,11;29144,24
311;64657,22;32249,67;96906,89;55855,18;152762,07
