ZONA;Metrô;Trem;Ônibus;Fretado;Escolar;Automóvel;Táxi;Moto;Bicicleta;A pé;Outros
 1 ;67841,89;1453,81;29973,82;22,13;180,34;13088,91;2313,90;1676,82;145,91;43708,89;96,50
 2 ;47884,02;8444,90;25897,45;0,00;39,77;21473,62;1236,43;4315,11;737,32;26794,02;409,10
 3 ;20982,02;0,00;7842,44;0,00;243,80;7415,68;1280,83;664,30;331,13;23764,57;446,22
 4 ;19799,64;0,00;13020,64;0,00;289,36;12807,12;3179,57;321,59;1083,62;27227,20;455,22
 5 ;78710,96;880,41;27443,88;0,00;245,59;17645,89;3993,50;3116,53;1379,11;51896,36;907,39
 6 ;24960,65;14759,37;16074,43;0,00;332,10;12609,01;1889,50;3229,50;1564,65;34209,61;162,35
 7 ;19557,71;12330,78;8075,24;1658,04;613,79;13160,23;925,96;4506,20;1705,77;30627,28;0,00
 8 ;2097,00;2705,63;6083,64;801,33;288,89;6404,08;635,76;843,17;566,38;19796,83;0,00
 9 ;12041,59;1103,09;7153,05;0,00;190,94;6225,64;187,20;710,81;512,66;8006,43;137,39
 10 ;5706,30;0,00;8006,48;329,86;1753,96;3341,28;29,00;199,89;335,73;4187,45;0,00
 11 ;340,49;13,73;2971,38;0,00;558,34;4638,97;18,98;1085,56;82,57;1693,03;0,00
 12 ;4013,87;6031,58;7913,19;67,77;746,99;7716,18;472,00;1289,71;1293,16;15514,84;1076,54
 13 ;1969,82;6276,14;3933,01;240,84;34,07;7866,86;651,69;0,00;38,30;4120,04;0,00
 14 ;5992,04;13683,67;15005,94;1543,65;147,86;12897,54;1193,23;456,59;82,49;15492,62;0,00
 15 ;8933,37;5499,27;6336,75;0,00;858,34;5234,92;0,00;479,67;253,09;8571,36;0,00
 16 ;14052,02;5118,35;5599,39;0,00;722,08;7177,16;390,84;147,02;1045,70;14023,27;370,74
 17 ;6415,74;2532,75;5881,92;24,20;102,85;4450,80;546,46;721,36;295,20;10653,30;0,00
 18 ;7747,03;4368,46;16376,53;318,85;523,70;22146,76;1663,18;178,32;544,99;19706,91;932,28
 19 ;4250,94;328,91;11575,94;155,97;1402,14;24972,28;1403,30;2129,75;226,24;11234,87;0,00
 20 ;4639,53;576,00;11132,30;0,00;888,37;12934,26;1059,75;1473,88;211,56;14167,16;0,00
 21 ;5045,55;0,00;7800,98;0,00;471,05;16881,79;2871,29;1494,77;159,93;9599,25;106,30
 22 ;11279,32;0,00;3588,94;0,00;187,47;8349,52;169,66;1153,38;200,43;11814,50;299,95
 23 ;38573,48;0,00;6966,36;155,32;147,71;12880,95;1052,24;2131,10;234,16;11874,78;0,00
 24 ;46826,68;0,00;9401,39;0,00;655,58;10768,75;835,68;2438,67;338,62;18432,49;0,00
 25 ;5430,03;0,00;8739,55;13,62;0,00;5366,60;1642,18;1007,69;570,30;17860,21;0,00
 26 ;11992,68;0,00;7134,55;0,00;1156,09;16198,85;657,97;90,01;268,68;17008,71;0,00
 27 ;37992,62;821,40;17412,06;0,00;685,03;25563,54;3863,93;1102,40;598,96;29757,46;0,00
 28 ;22754,70;2196,69;11723,65;0,00;731,03;14929,16;6006,35;744,65;302,21;16782,96;0,00
 29 ;30061,37;0,00;19022,31;0,00;234,91;15794,33;4547,89;2504,39;359,30;22005,24;408,10
 30 ;9708,13;307,65;7668,15;2716,15;297,61;16622,46;3087,55;1433,40;1457,45;19816,42;0,00
 31 ;37022,20;804,14;22508,47;791,11;1364,04;21952,08;3405,44;1584,27;208,35;29020,31;371,49
 32 ;41749,98;766,93;19607,53;0,00;730,25;15650,90;1223,67;513,54;286,97;31603,60;0,00
 33 ;1551,72;324,18;888,60;0,00;139,64;1256,20;605,62;673,24;53,37;1436,54;0,00
 34 ;4003,91;272,86;2675,76;0,00;443,57;15778,56;1380,15;52,47;155,10;7094,77;0,00
 35 ;26168,59;2395,72;18061,43;0,00;384,42;20928,23;1381,40;69,27;394,00;43699,36;852,48
 36 ;27244,30;2756,78;18145,14;504,22;543,67;28619,55;4324,76;1619,55;1188,56;27701,43;0,00
 37 ;4097,18;4705,69;6565,77;451,08;125,98;10181,47;293,45;1126,40;1181,25;5046,20;0,00
 38 ;1180,53;0,00;1635,11;0,00;441,10;3743,73;88,53;351,79;0,00;4710,49;23,88
 39 ;3583,36;2379,46;8626,34;97,38;1038,53;7039,25;202,32;286,77;7,43;3847,30;0,00
 40 ;11903,34;632,45;9306,30;0,00;784,12;8129,84;197,24;427,49;80,45;10804,30;0,00
 41 ;15536,95;3802,34;10262,96;0,00;2501,77;18854,90;581,02;1518,43;197,83;28044,98;0,00
 42 ;2901,64;3459,05;8296,88;0,00;177,39;6934,54;500,10;71,63;721,24;6268,40;23,88
 43 ;33392,65;3373,26;25229,20;97,51;1556,09;21695,81;2907,32;1676,63;699,66;18703,51;0,00
 44 ;7266,16;4980,43;8709,11;0,00;1888,51;21558,86;1655,88;1656,82;433,45;12167,94;0,00
 45 ;11301,59;3740,52;19613,61;900,21;2334,52;28542,80;2510,22;1965,04;1780,21;25484,58;546,54
 46 ;3964,98;234,10;13315,78;0,00;7653,35;18177,04;629,28;520,90;434,11;26794,09;126,22
 47 ;2718,28;471,37;6033,46;0,00;200,43;16170,58;371,98;1728,32;452,19;15188,55;107,12
 48 ;3110,35;1000,46;11635,72;0,00;2794,12;17676,34;323,92;1120,43;514,10;10859,46;126,22
 49 ;24108,48;0,00;6474,95;0,00;1088,01;12735,87;1227,68;1201,22;282,74;13080,43;0,00
 50 ;1676,07;0,00;2627,33;62,48;377,35;7567,49;776,57;490,54;286,17;2786,61;151,37
 51 ;6546,76;0,00;3130,68;0,00;1119,48;12005,27;282,30;807,60;125,89;5942,03;0,00
 52 ;14715,05;0,00;9875,87;0,00;451,51;9046,65;255,00;626,90;0,00;7004,62;0,00
 53 ;28011,85;0,00;5780,17;0,00;1117,73;16772,19;1137,33;2155,30;460,41;10343,21;0,00
 54 ;23667,16;32,03;17136,37;0,00;310,73;23112,00;3109,79;1292,11;936,69;20191,01;110,27
 55 ;14863,64;0,00;5840,58;35,98;79,63;17862,19;1665,37;3148,35;320,30;6444,62;204,90
 56 ;23551,21;0,00;6968,99;148,00;1700,48;18556,59;3410,38;2455,34;910,45;19041,38;110,07
 57 ;27230,13;0,00;16300,58;0,00;1933,39;28068,01;4059,47;2909,05;993,86;28952,05;168,14
 58 ;19845,97;0,00;7174,88;298,14;957,89;11876,12;738,07;1269,82;145,02;13333,38;0,00
 59 ;48099,50;0,00;19733,41;267,27;3943,14;37968,31;1878,20;2207,98;2637,87;47134,36;591,05
 60 ;10545,77;126,06;10587,72;0,00;938,51;32507,69;863,67;3108,33;971,46;9653,21;45,66
 61 ;16541,74;0,00;12649,21;414,74;1484,54;23952,85;1841,93;1145,55;298,24;17751,97;0,00
 62 ;6279,11;340,94;17000,94;0,00;223,74;16669,59;1449,89;415,06;418,91;5938,42;0,00
 63 ;10988,57;0,00;10632,98;0,00;891,47;11997,38;581,93;618,31;150,59;2282,65;0,00
 64 ;9391,13;1232,74;22373,50;120,10;2660,78;35912,71;3582,87;2213,98;2962,66;24155,30;0,00
 65 ;2107,47;966,73;12568,50;0,00;1762,18;28725,06;4430,97;3359,02;795,86;13615,37;0,00
 66 ;6930,34;595,52;13841,33;0,00;2814,13;24116,90;2887,75;3054,88;278,37;5419,01;0,00
 67 ;3505,84;477,59;8988,04;0,00;504,11;9473,34;1385,35;614,22;159,24;7511,35;85,63
 68 ;15714,59;6976,82;32826,80;457,36;2905,34;41145,89;6697,18;7020,05;3472,67;54548,54;85,63
 69 ;6571,00;1035,59;12106,80;0,00;114,15;20337,93;2742,72;634,22;1695,79;15487,53;0,00
 70 ;2309,06;4764,25;15240,31;0,00;486,97;17258,02;1558,41;680,85;375,07;11836,97;85,85
 71 ;2677,08;4289,31;12333,95;0,00;1024,72;24918,35;3481,38;2600,13;1812,34;13359,18;199,25
 72 ;6797,30;4369,02;11151,49;748,69;1032,62;19722,10;1143,44;1723,77;1167,14;12355,12;726,32
 73 ;22763,79;23890,04;22660,23;1527,95;370,25;42330,46;4026,94;3777,91;2722,45;57224,83;0,00
 74 ;26196,59;307,65;10185,90;87,49;226,76;15003,60;2509,34;923,37;710,52;20410,26;55,71
 75 ;7834,58;295,24;6722,68;112,31;598,31;12890,73;2173,07;299,79;245,95;11577,64;0,00
 76 ;4199,01;120,69;11865,07;0,00;600,52;20626,96;1361,43;1398,02;213,71;10326,00;0,00
 77 ;27027,58;1807,88;15543,25;38,41;1792,86;16205,42;8741,02;4007,83;669,11;20152,31;0,00
 78 ;10980,70;1146,48;8173,55;0,00;689,96;16474,98;4598,52;1331,83;1243,69;13572,71;7,15
 79 ;40929,83;65,06;20182,18;0,00;1091,86;26548,32;5166,10;2027,70;594,20;27813,05;972,98
 80 ;17680,10;1286,95;13589,00;0,00;174,13;18863,88;3796,74;1217,48;1157,14;22655,15;427,36
 81 ;13569,52;1383,13;19212,93;416,64;676,00;25916,52;4283,01;2094,26;2048,38;17764,82;55,71
 82 ;31494,58;12961,48;36302,76;187,89;1472,85;36456,85;4630,17;6012,85;3240,87;31011,62;70,24
 83 ;20364,86;1118,81;13951,91;0,00;927,06;26919,23;3299,79;806,94;1768,54;20950,92;47,90
 84 ;5545,13;2385,74;7895,80;0,00;627,06;20530,73;3347,46;661,27;231,64;13363,52;0,00
 85 ;954,35;1476,78;4611,61;0,00;441,09;7644,00;930,55;178,92;68,72;4060,83;0,00
 86 ;1917,19;0,00;2689,30;0,00;0,00;2828,31;786,07;245,91;172,31;1688,92;0,00
 87 ;10246,28;180,92;5407,27;0,00;923,41;16963,15;1506,26;896,50;840,67;7539,67;0,00
 88 ;6872,80;1710,81;14408,63;0,00;1786,54;37790,00;6951,55;3313,66;337,77;30781,67;0,00
 89 ;3299,99;669,81;4000,42;0,00;403,31;7096,41;1195,28;299,73;1015,29;2577,42;61,53
 90 ;4117,25;1822,80;4973,59;0,00;338,19;17425,82;3599,10;2088,29;1292,32;9282,55;123,05
 91 ;11149,27;6656,66;24205,67;659,93;195,37;9186,17;809,17;3619,51;76,51;4916,41;0,00
 92 ;7426,97;3479,95;2226,89;0,00;188,89;8849,12;327,76;313,37;6,34;8691,71;5,81
 93 ;32282,12;28467,16;24013,93;0,00;1205,12;16495,45;2075,54;1420,42;368,10;13343,31;245,87
 94 ;8285,87;3462,22;11687,48;0,00;804,90;13376,24;2135,37;994,45;212,84;12863,39;0,00
 95 ;4544,82;0,00;6259,85;0,00;1088,73;19019,84;1373,70;1259,67;295,37;8668,10;0,00
 96 ;2122,42;3622,26;6059,18;0,00;900,06;15934,51;889,62;220,46;504,71;3674,03;0,00
 97 ;5182,07;2284,21;7112,95;0,00;669,88;17125,94;3964,40;339,35;603,85;6493,57;0,00
 98 ;1770,40;1482,61;5397,89;0,00;331,98;4169,00;236,89;116,90;843,21;1453,42;0,00
 99 ;3996,51;7917,48;10060,94;0,00;938,60;14256,85;772,20;864,70;964,11;3864,29;0,00
 100 ;7536,45;19165,83;52637,55;112,31;2043,35;41283,32;3271,52;2397,53;1072,53;20150,62;0,00
 101 ;2891,07;1957,50;11168,28;0,00;1009,24;20207,69;1580,33;1524,65;53,18;7151,02;0,00
 102 ;1597,52;583,30;8663,64;0,00;1335,11;14232,69;787,55;326,52;0,00;4172,90;47,90
 103 ;737,62;2075,49;2344,94;13,59;175,38;4073,99;685,92;549,24;0,00;833,20;0,00
 104 ;934,48;1407,88;3905,71;41,93;353,45;7972,62;422,89;304,39;471,97;2153,55;0,00
 105 ;1518,54;1516,78;13799,57;0,00;2425,24;19861,58;716,58;475,92;0,00;7328,81;61,53
 106 ;4544,17;3971,28;5771,15;0,00;377,42;9648,69;302,51;253,39;1047,49;4085,11;807,61
 107 ;1897,77;6021,06;7633,06;0,00;2405,30;23769,58;503,16;1549,57;174,16;6067,99;247,80
 108 ;3793,44;5092,45;2319,52;0,00;537,68;10571,73;37,56;1134,37;70,56;1862,60;409,71
 109 ;10476,34;6875,94;52314,46;157,92;18471,22;40551,62;0,00;993,12;1129,03;49656,39;0,00
 110 ;5588,90;9248,28;20717,48;263,68;3170,01;25665,26;232,78;1079,45;0,00;24625,95;0,00
 111 ;2753,59;540,85;16307,49;0,00;5613,31;26311,61;1726,05;283,91;2103,47;27784,23;0,00
 112 ;776,90;4490,00;14203,25;157,92;1714,90;9828,87;736,80;1901,12;0,00;24812,56;0,00
 113 ;2046,53;2907,90;15754,07;0,00;2486,23;20694,81;302,60;1874,14;0,00;11478,09;0,00
 114 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;238,72;0,00
 115 ;4116,99;7038,07;14257,04;0,00;5452,40;13639,69;0,00;1640,00;0,00;23847,48;0,00
 116 ;11137,04;8706,56;76201,96;1280,14;19239,41;30340,00;0,00;4955,40;0,00;88414,98;0,00
 117 ;618,80;2110,26;15049,46;1344,75;9830,09;19013,15;0,00;2002,19;0,00;9888,97;0,00
 118 ;382,86;712,75;4783,48;1127,46;491,85;6031,17;0,00;0,00;0,00;8146,35;0,00
 119 ;5963,51;8118,35;31061,55;0,00;16198,44;14095,86;0,00;764,70;0,00;34710,84;0,00
 120 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 121 ;2978,26;0,00;31091,50;0,00;2893,96;16710,16;406,48;1027,52;0,00;39548,88;0,00
 122 ;1194,93;587,18;25225,91;0,00;1942,40;11589,46;0,00;2231,56;485,01;29137,07;0,00
 123 ;2670,45;0,00;24019,57;1534,61;13553,19;6610,35;0,00;3727,62;0,00;32801,71;0,00
 124 ;5202,77;670,00;35383,52;506,98;9441,35;32170,34;290,52;0,00;0,00;45103,32;0,00
 125 ;1460,19;516,72;18615,45;263,52;3266,22;11364,24;0,00;2018,81;839,92;41789,85;0,00
 126 ;3302,92;0,00;17390,67;0,00;3432,48;23192,41;199,71;1421,05;770,06;22218,41;0,00
 127 ;2865,04;1550,87;28707,48;520,38;7117,51;44899,16;1178,23;2460,57;1768,17;37389,78;0,00
 128 ;6172,63;0,00;10219,21;9,51;0,00;15784,14;12,87;0,00;31,03;3669,74;0,00
 129 ;10533,44;0,00;19211,81;0,00;15,01;20130,37;1770,78;747,02;0,00;9973,00;0,00
 130 ;3404,46;0,00;664,77;0,00;0,00;3817,94;0,00;229,36;70,72;1482,05;0,00
 131 ;11301,68;0,00;6267,48;6,78;15,01;6939,25;571,79;725,03;1016,31;5509,69;0,00
 132 ;2738,68;0,00;3466,12;0,00;688,81;6789,03;6,78;314,04;92,24;556,66;0,00
 133 ;15776,83;0,00;20101,31;0,00;3569,14;31039,06;1129,47;2218,53;93,96;17535,49;0,00
 134 ;5723,69;0,00;16127,74;0,00;2988,90;33399,46;2191,08;1689,27;0,00;11163,15;734,64
 135 ;9476,45;0,00;17482,32;0,00;4990,35;25703,91;696,72;1980,68;1270,94;22254,12;0,00
 136 ;6002,57;2501,49;14214,73;659,18;5249,52;30095,76;1667,11;2421,84;422,96;27014,10;0,00
 137 ;7743,26;0,00;21935,63;0,00;5379,89;33369,48;666,20;4388,60;300,99;32434,59;0,00
 138 ;1306,52;1121,14;5074,88;0,00;1664,53;11533,02;757,45;528,02;35,21;11370,78;0,00
 139 ;3460,98;907,82;18050,96;0,00;3306,31;16020,05;606,69;0,00;531,00;19210,51;0,00
 140 ;7223,96;1152,22;14211,61;646,87;1341,54;13397,59;391,87;3619,67;1499,88;47241,81;129,92
 141 ;9901,41;529,62;36922,69;0,00;8660,41;40246,34;1382,22;890,78;1784,92;57829,66;2349,96
 142 ;3376,72;0,00;23148,74;0,00;7380,76;20712,99;0,00;1281,23;0,00;39979,11;1982,64
 143 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 144 ;12470,85;0,00;40065,63;189,53;9336,21;62088,63;3175,88;1626,92;0,00;34901,83;0,00
 145 ;866,33;0,00;4152,55;0,00;1972,90;7959,20;31,26;1425,12;1513,30;1609,70;0,00
 146 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 147 ;5995,18;0,00;14868,61;0,00;3217,24;18154,25;318,18;304,07;1513,30;29117,93;0,00
 148 ;1988,80;0,00;9824,27;0,00;1294,86;14388,50;75,16;520,32;350,11;20445,00;0,00
 149 ;0,00;0,00;0,00;0,00;0,00;77,56;0,00;0,00;350,11;0,00;0,00
 150 ;4330,46;90,18;20575,27;0,00;2496,36;8394,13;1285,51;2413,34;0,00;22133,01;459,68
 151 ;11653,35;0,00;33825,25;0,00;4869,83;43532,68;3016,65;4556,61;1555,75;76022,78;0,00
 152 ;12181,01;0,00;9381,45;0,00;2153,02;25654,40;192,71;498,31;271,69;29649,69;0,00
 153 ;5593,96;0,00;12511,11;0,00;1352,02;15557,08;204,90;573,56;0,00;5322,57;0,00
 154 ;12785,42;0,00;21150,38;0,00;1553,85;45113,44;143,03;3151,55;0,00;17187,84;0,00
 155 ;1935,18;0,00;7744,06;191,71;4355,35;7564,92;481,38;1614,12;423,04;18235,57;52,56
 156 ;4956,84;0,00;26327,08;0,00;3257,09;26631,35;44,85;2310,01;1292,57;23787,84;0,00
 157 ;4176,66;0,00;5142,52;0,00;1864,15;10575,15;0,00;1135,75;355,59;10135,14;821,08
 158 ;10304,48;0,00;15628,11;0,00;4151,20;17661,99;627,87;1058,43;355,59;25114,89;0,00
 159 ;2049,74;677,19;17352,91;371,66;7264,53;34268,77;196,14;1266,48;0,00;38506,83;0,00
 160 ;3007,08;0,00;14013,36;0,00;5571,93;16323,77;0,00;579,28;0,00;15674,29;303,57
 161 ;6211,63;1256,35;18415,63;160,76;2113,91;40964,04;343,60;2401,85;6112,30;44324,61;270,11
 162 ;2334,12;1382,86;19947,40;443,56;2967,69;19016,65;633,76;940,76;1191,61;19007,85;394,55
 163 ;6279,20;0,00;16784,93;0,00;2739,03;45414,70;795,86;406,88;5606,48;17019,30;1522,31
 164 ;1497,97;2048,52;4667,39;0,00;434,78;9499,44;0,00;141,08;1519,94;5835,10;275,52
 165 ;6105,88;18,29;10360,80;31,86;178,45;12096,28;1556,27;2114,89;57,30;4656,25;0,00
 166 ;19506,23;5718,80;20420,06;0,00;7022,16;37860,02;1755,03;5457,94;0,00;22395,75;0,00
 167 ;22138,00;8268,16;23772,78;0,00;1568,55;35474,81;1342,57;1551,81;659,67;22185,27;0,00
