ZONA;Metrô;Trem;Ônibus;Fretado;Escolar;Automóvel;Táxi;Moto;Bicicleta;A pé;Outros
 283 ;1040,87;1015,66;5069,77;0,00;321,85;4696,18;1047,19;303,07;132,38;5386,03;189,33
 284 ;1879,86;2918,33;22899,64;666,73;9178,31;17540,54;347,53;706,73;0,00;25836,18;0,00
 285 ;5989,55;2128,96;30876,13;0,00;11095,47;37241,35;1281,97;6125,18;0,00;74876,48;0,00
 286 ;3123,43;1964,54;18579,56;138,59;1889,84;14771,01;554,92;4461,44;378,79;4998,98;0,00
 287 ;1073,84;1557,82;16454,72;539,84;2397,45;27377,38;399,10;1343,41;2682,75;16916,86;0,00
 288 ;968,98;1147,88;20515,11;0,00;4428,75;8410,13;77,39;2001,27;244,54;12040,69;0,00
 289 ;3388,71;6409,12;21559,53;1079,69;7951,23;19910,73;768,70;823,73;796,31;31487,56;639,02
 290 ;4243,68;6936,11;17772,43;0,00;5763,92;11756,27;1304,78;1232,07;0,00;38359,29;2515,99
 291 ;4816,96;9953,98;24799,43;785,14;11915,42;44121,83;379,54;1885,04;0,00;34541,52;0,00
 292 ;6143,42;2948,12;17515,96;0,00;8010,35;26173,85;1002,87;4087,52;0,00;34577,53;0,00
 293 ;7468,54;9837,19;37004,96;0,00;14922,03;17818,66;294,99;3467,46;1710,22;51062,49;2515,99
 294 ;6874,69;16259,12;33483,69;1859,64;14315,00;9161,85;0,00;1938,72;0,00;84813,24;1386,09
 295 ;6361,44;10215,13;43374,07;0,00;13319,95;30684,27;554,92;5880,68;1777,93;57294,01;0,00
 296 ;218,81;37,27;2398,22;0,00;2355,36;2765,30;0,00;142,31;742,16;385,75;0,00
 297 ;24,77;240,36;1066,00;308,37;386,00;1406,19;0,00;0,00;130,24;536,38;0,00
 298 ;4233,21;13653,59;49384,11;564,69;26289,22;30298,18;1217,30;3049,57;2072,65;89038,25;622,77
 299 ;473,91;326,35;4140,61;0,00;884,10;1980,46;0,00;192,78;0,00;2430,79;0,00
 300 ;27510,51;20393,64;55861,22;842,40;3968,40;87902,15;4107,16;5649,87;1290,26;60739,37;532,56
 301 ;4129,39;363,66;14577,82;0,00;2469,99;21567,29;2072,75;695,28;78,73;4431,44;0,00
 302 ;16986,25;2455,83;47155,37;749,37;2031,22;31068,93;903,94;1509,40;362,43;16314,91;0,00
 303 ;13882,28;7889,57;59190,49;57,46;2462,67;23154,94;741,12;7568,07;264,78;15515,90;644,42
 304 ;9079,51;1582,41;43183,92;0,00;7708,87;29215,42;1071,21;6054,03;848,28;64196,60;0,00
 305 ;5027,02;3175,57;67775,08;0,00;6756,08;27558,94;3223,55;5035,50;0,00;89040,17;0,00
 306 ;3818,39;703,92;29313,51;0,00;8015,97;7488,05;1229,37;3363,77;0,00;46699,49;80,96
 307 ;7202,33;1075,34;49532,34;0,00;15747,71;18247,47;276,62;4268,49;0,00;50117,77;0,00
 308 ;921,22;497,92;14926,44;0,00;7066,76;5039,38;0,00;217,33;0,00;32151,04;0,00
 309 ;3419,90;586,50;28059,88;0,00;9610,31;9866,50;854,73;1396,43;828,78;23729,85;86,89
 310 ;598,94;0,00;9477,84;0,00;2328,55;5142,56;190,42;785,66;0,00;10208,71;0,00
 311 ;4156,43;4273,32;45285,03;763,74;10706,72;22115,32;615,07;7749,12;0,00;54374,07;167,02
 312 ;8100,33;0,00;19153,77;155,43;7115,26;27009,31;1190,61;4734,35;0,00;26524,12;0,00
 313 ;1291,24;515,61;11213,07;98,88;3581,48;9038,61;0,00;1442,23;0,00;17666,63;459,07
 314 ;13516,52;0,00;56024,69;0,00;19928,46;22353,93;258,58;3741,37;0,00;69050,86;1431,92
 315 ;13827,74;0,00;46349,34;180,89;11000,02;19148,04;29,75;6666,53;772,85;77096,48;0,00
 316 ;4749,29;1219,48;6481,99;72,14;2942,78;22202,98;1566,55;2172,01;1111,19;4482,55;0,00
 317 ;1480,26;2747,48;3135,99;0,00;122,92;8331,49;491,13;1256,49;40,49;762,10;0,00
 318 ;2634,56;2484,69;12817,39;0,00;1417,64;13854,56;288,76;2828,88;0,00;10977,72;527,06
 319 ;1829,41;1379,38;10930,31;1643,71;2302,58;15274,09;314,98;990,45;157,74;5030,54;0,00
 320 ;2228,29;0,00;27506,17;0,00;3752,68;12918,07;849,52;1570,54;181,35;50985,07;274,41
 321 ;4785,07;136,56;19548,83;0,00;4445,74;39979,57;2792,76;2375,60;643,47;25323,78;0,00
 322 ;4437,08;95,04;16865,08;0,00;7835,07;33962,15;1726,77;1777,10;844,86;15631,67;274,41
 323 ;11812,79;824,53;17322,50;0,00;12972,60;21345,16;0,00;1573,46;0,00;30003,90;538,74
 324 ;1699,65;0,00;36131,29;461,66;12502,42;12947,41;1146,59;3679,05;0,00;28986,28;0,00
 325 ;2209,73;0,00;19573,31;363,51;3796,39;28335,42;0,00;2026,39;488,49;31129,80;0,00
