 ZONA ; Ônibus ; Transporte Fretado ; Transporte Escolar ; Dirigindo Automóvel ; Táxi ; Metrô ; Trem ; Moto ; Bicicleta ; A pé ; Outros ; Total 
445;34819,89;1891,88;23946,80;16961,40;0,00;1934,59;5858,00;375,00;232,24;76766,09;0,00;162785,89
446;31672,21;2994,66;8558,65;36005,78;0,00;3397,16;1458,62;1362,29;1346,38;64211,77;0,00;151007,53
447;9241,65;1406,25;2014,30;11841,93;0,00;844,56;393,01;420,27;116,12;6792,00;771,73;33841,82
448;4166,29;2742,05;81,88;7818,60;44,86;204,54;788,06;86,40;157,11;9647,56;0,00;25737,36
449;23098,31;1221,08;1248,54;24611,93;0,00;3821,61;6431,57;1227,31;0,00;70606,57;0,00;132266,93
450;829,39;32,30;64,60;3654,40;0,00;0,00;159,19;290,24;41,18;2021,06;0,00;7092,36
451;33428,06;7719,19;4039,19;28814,77;280,29;1077,28;467,29;1487,77;1505,44;22280,66;0,00;101099,95
452;66928,95;3087,50;8495,72;31032,87;0,00;531,30;873,80;6450,96;680,90;38609,16;0,00;156691,16
453;607,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;607,70
454;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
455;14433,82;427,67;4174,73;6697,90;0,00;0,00;0,00;0,00;1751,67;21561,14;0,00;49046,92
456;13018,17;249,66;6966,15;19168,85;0,00;0,00;0,00;2771,02;3996,03;31965,20;0,00;78135,08
457;21,26;128,43;85,03;2058,26;21,26;0,00;0,00;0,00;0,00;65,98;0,00;2380,23
458;49037,31;7904,93;2833,50;51146,87;0,00;564,72;25897,58;4264,00;3335,76;101422,92;0,00;246407,60
459;63093,83;4423,61;2147,50;25821,27;42,40;1912,43;424,79;7997,60;2207,25;86768,76;0,00;194839,44
460;3491,55;300,41;1666,44;3501,28;0,00;77,51;187,28;987,25;100,14;14842,85;0,00;25154,70
