ZONA; Metrô ; Trem ; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 306 ;3531,20;703,92;30148,92;0,00;8015,97;7569,01;1229,37;2883,09;0,00;46699,49;0,00;100780,98
 307 ;6877,54;707,97;48966,63;0,00;15747,71;18684,86;276,62;4268,49;0,00;50117,77;287,19;145934,79
 308 ;921,22;248,96;17628,86;0,00;6567,82;4911,79;424,66;217,33;0,00;30495,81;0,00;61416,44
 309 ;3882,78;387,25;29586,42;0,00;8271,30;9523,61;854,73;1396,43;828,78;23707,56;86,89;78525,75
 310 ;517,98;0,00;9501,71;0,00;2328,55;5289,41;190,42;785,66;0,00;10081,11;449,40;29144,24
 311 ;4093,92;6675,10;42508,41;0,00;11379,79;23196,04;292,79;8512,86;0,00;55855,18;247,97;152762,07
 312 ;7091,65;581,09;20618,87;155,43;7115,26;25714,20;1190,61;4391,82;0,00;26473,13;0,00;93332,05
 313 ;1291,24;515,61;11312,92;98,88;3581,48;9038,61;0,00;1442,23;0,00;17574,86;688,61;45544,43
 314 ;13547,26;0,00;54196,27;0,00;20270,44;23685,83;1157,37;3741,37;0,00;69462,37;229,54;186290,45
 315 ;12799,42;0,00;44994,83;528,42;10898,51;18569,35;619,58;6996,35;1532,10;77888,20;0,00;174826,74
 316 ;4727,85;1568,35;7221,08;72,14;3037,12;21972,05;1638,68;2172,01;1111,19;4208,15;0,00;47728,63
 317 ;1445,21;1569,46;3302,90;0,00;122,92;8338,67;533,66;1256,49;40,49;762,10;0,00;17371,90
 318 ;2634,56;2827,20;12434,26;0,00;1417,64;13839,61;384,60;2828,88;0,00;11252,12;527,06;48145,94
 319 ;1668,82;0,00;11115,06;2877,39;2326,97;15100,82;474,33;990,45;157,74;5349,19;0,00;40060,78
 320 ;2830,64;0,00;29314,89;0,00;3714,26;13120,15;868,25;1570,54;181,35;48073,47;274,41;99947,95
 321 ;5791,85;133,74;17260,81;0,00;4235,53;42456,24;2006,65;2375,60;643,47;24924,16;0,00;99828,05
 322 ;3405,07;471,61;14954,57;0,00;8010,55;32916,86;2280,33;1777,10;268,77;18194,30;0,00;82279,15
 323 ;10728,67;824,53;17915,84;0,00;12895,77;21957,00;0,00;1573,46;0,00;29693,77;538,74;96127,78
 324 ;1979,86;0,00;36805,36;461,66;12502,42;13336,89;527,01;3679,05;0,00;28706,07;0,00;97998,32
 325 ;2555,64;0,00;17702,07;0,00;4106,52;30224,94;363,51;2026,39;488,49;31099,77;0,00;88567,33
 326 ;7092,50;45,14;19268,84;0,00;3154,65;19064,04;0,00;1750,83;416,05;12861,81;421,82;64075,69
 327 ;828,27;48,11;5475,02;0,00;1706,48;14514,25;337,23;782,04;0,00;8068,41;0,00;31759,81
 328 ;2955,12;863,81;8344,35;1007,10;4104,83;24941,53;876,48;1141,25;0,00;8737,47;197,46;53169,39
 329 ;4264,28;2553,10;15711,11;0,00;2940,51;41167,17;1379,59;4159,39;990,70;16932,25;0,00;90098,08
 330 ;3357,50;522,86;12282,95;0,00;4311,00;28445,69;844,44;1123,19;0,00;12945,39;0,00;63833,02
 331 ;3346,90;132,08;15170,99;96,36;8925,98;21922,26;317,04;2195,47;617,29;17400,50;0,00;70124,88
 332 ;3013,65;1048,78;13417,67;0,00;5416,19;17971,65;0,00;4539,85;617,29;35780,43;0,00;81805,50
 333 ;1964,92;2185,22;8837,97;919,90;1443,77;8761,25;0,00;1721,64;0,00;8660,62;0,00;34495,30
 334 ;1717,33;86,31;12374,66;0,00;7610,78;25856,35;652,82;2254,42;23,89;17800,59;0,00;68377,16
 335 ;2127,60;568,49;13730,02;0,00;4859,19;22131,17;418,07;959,78;507,24;23665,29;0,00;68966,84
 336 ;1915,46;0,00;19331,83;0,00;8984,26;13238,27;0,00;1219,37;190,75;14693,07;951,31;60524,32
 337 ;2023,88;3127,03;10718,80;0,00;5681,56;19815,20;427,06;714,00;190,75;9755,59;400,60;52854,47
 338 ;5357,46;3218,14;15181,28;0,00;1421,49;18201,35;503,30;2493,90;3102,69;21456,93;178,68;71115,22
 339 ;19504,22;3726,48;21880,80;350,80;521,31;31496,28;1330,30;1588,10;2168,87;7077,71;0,00;89644,87
 340 ;6725,64;0,00;9401,31;315,28;393,51;16636,79;1054,69;612,93;656,25;3377,22;336,77;39510,39
 341 ;1991,02;169,39;4988,28;0,00;2088,16;9769,62;314,16;2819,37;251,11;7271,36;0,00;29662,45
 342 ;6269,34;2046,53;9658,11;0,00;2648,08;30053,82;1491,20;757,53;683,70;16101,54;0,00;69709,86
 343 ;108,28;0,00;351,65;0,00;703,44;1712,05;69,23;103,20;0,00;661,47;69,23;3778,56
 344 ;7088,05;5725,88;16968,39;1487,31;6193,02;37736,45;520,38;1200,28;0,00;32461,36;69,23;109450,35
 345 ;608,30;1188,03;4359,36;0,00;6087,70;7610,47;0,00;949,70;1064,81;16805,35;0,00;38673,72
 346 ;0,00;0,00;0,00;0,00;0,00;124,91;0,00;0,00;0,00;0,00;0,00;124,91
 347 ;107,78;1695,94;20771,01;982,22;15524,52;25584,40;36,66;2320,37;2811,22;48269,97;45,01;118149,10
 348 ;0,00;0,00;2162,40;350,43;1117,00;2372,00;0,00;158,57;47,54;2806,58;45,01;9059,54
 349 ;0,00;0,00;0,00;0,00;0,00;292,31;0,00;0,00;0,00;0,00;0,00;292,31
 350 ;108,10;4196,74;5662,41;603,75;15283,86;11195,34;0,00;1471,18;0,00;25443,22;0,00;63964,60
 351 ;3803,96;13602,84;18330,84;0,00;10443,02;24686,57;149,69;1364,84;0,00;44075,82;0,00;116457,58
 352 ;0,00;0,00;1882,38;0,00;0,00;4525,53;674,25;0,00;0,00;425,02;0,00;7507,18
 353 ;0,00;0,00;378,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;378,80
 354 ;0,00;0,00;0,00;0,00;0,00;492,60;0,00;0,00;0,00;0,00;0,00;492,60
 355 ;3363,45;7216,44;10418,42;273,67;3776,01;19017,46;0,00;708,81;1028,12;41598,56;0,00;87400,93
 356 ;7432,97;14041,91;16464,61;293,80;7005,32;11788,45;170,76;2737,24;0,00;71174,67;0,00;131109,74
 357 ;252,38;520,70;340,51;67,57;156,76;551,20;0,00;76,39;0,00;2813,09;0,00;4778,62
 358 ;2312,98;0,00;5586,35;223,19;5090,97;20047,39;199,20;446,39;1660,63;18817,57;303,57;54688,25
 359 ;241,17;115,89;1867,52;0,00;3615,58;6098,44;0,00;3169,05;0,00;7909,34;1379,05;24396,05
 360 ;2204,44;17,17;3597,34;0,00;3509,95;5856,17;0,00;446,39;2342,46;9384,20;0,00;27358,11
 361 ;445,27;0,00;2177,30;0,00;3278,59;4276,84;0,00;0,00;127,23;6260,23;0,00;16565,46
 362 ;2359,99;0,00;46954,21;392,58;3958,22;40595,89;3044,20;5357,91;0,00;18555,82;0,00;121218,83
 363 ;3510,80;0,00;27443,67;562,58;5662,98;52353,19;2124,94;1197,12;1145,94;34779,80;0,00;128781,02
 364 ;506,35;1850,49;10101,24;735,84;1950,24;14733,93;60,76;1702,68;289,75;10956,80;0,00;42888,07
 365 ;525,85;0,00;11854,93;747,67;138,10;7858,29;327,63;236,49;62,59;2767,42;0,00;24518,97
 366 ;3972,01;334,49;25680,02;759,53;3684,72;35468,55;371,10;4407,72;390,49;21174,36;323,83;96566,83
 367 ;1370,41;0,00;9291,80;89,09;2403,78;18749,50;112,76;1174,78;900,95;15833,15;0,00;49926,21
 368 ;853,56;0,00;19030,72;0,00;1149,09;32938,32;129,28;1068,77;0,00;37814,10;0,00;92983,84
 369 ;4054,14;0,00;21128,16;717,24;7488,19;44736,35;707,90;1141,00;0,00;34287,52;476,66;114737,18
 370 ;1114,70;0,00;35355,80;0,00;13975,08;55657,57;0,00;13203,01;62,59;39277,58;1956,94;160603,28
 371 ;2739,57;0,00;18223,34;0,00;6129,25;42690,09;1863,88;921,88;931,79;32521,96;0,00;106021,76
 372 ;4562,68;6195,53;18333,87;1432,76;8262,42;31896,42;882,20;0,00;0,00;30939,56;0,00;102505,43
 373 ;2680,32;750,13;29245,97;652,41;6932,13;51577,53;0,00;6400,57;900,95;44592,80;1277,16;145009,96
 374 ;728,84;7637,23;10506,46;511,37;0,00;14015,03;1613,94;1668,17;0,00;427,54;0,00;37108,57
 375 ;5350,62;0,00;23624,45;429,36;9635,70;34016,97;0,00;2251,46;7619,69;45283,21;0,00;128211,45
 376 ;1280,45;400,01;12312,54;944,29;7335,41;24619,23;150,90;0,00;3351,81;41808,78;1718,96;93922,40
 377 ;8869,68;3636,74;49456,73;2957,80;20800,71;95004,83;1656,25;4186,95;4754,83;171284,25;1662,60;364271,36
 378 ;7720,36;0,00;23785,52;1902,90;13386,17;30796,16;2218,09;1222,43;1750,04;48879,55;674,10;132335,33
