Zona ;Nome;Domicílios;Famílias;População;Matrículas Escolares;Empregos;Automóveis;Produzidas;Atraídas
45;Santa Cecília;8568,91;7461,25;26759,68;8281,28;14148,88;9572,88;69156,63;67334,16
46;Barra Funda;5621,39;5931,95;15606,88;6902,58;16339,38;4547,49;66201,55;66023,77
47;Bom Retiro;2296,44;2314,93;8812,63;1959,55;15151,64;1516,20;36616,41;37374,26
48;Santana;1193,39;1236,87;3754,32;9761,58;13960,87;619,14;52945,97;52553,06
49;Vila Guilherme;8039,27;7831,94;31213,20;5031,22;25526,41;4239,65;70948,73;72287,98
50;Vila Maria;9424,33;8973,87;35544,00;9954,42;23891,72;6566,52;99256,48;99624,22
51;Vila Maria;5717,70;5711,58;22812,06;3989,31;14526,66;3825,72;44998,86;45007,97
52;Tatuapé;4506,98;5202,91;17903,72;6266,87;21353,08;2827,98;62335,64;61723,20
53;Tatuapé;8475,58;7857,66;30275,00;4253,76;10905,20;6969,41;52357,56;52289,12
54;Alto da Mooca;6422,56;6234,56;28650,12;5170,82;7158,14;4864,20;40060,42;40246,48
55;Vila Prudente;19849,46;19399,46;83218,62;15908,77;17186,16;13205,66;117588,58;115975,42
56;Vila Prudente;17761,05;17966,26;81243,70;17352,51;12892,22;9349,53;124376,51;125145,77
57;Vila Prudente;9122,17;8812,98;36755,17;8936,43;11531,25;5866,44;66621,33;67892,91
58;Ipiranga;18695,01;17868,93;71324,27;16709,66;29991,40;14697,60;157614,38;157434,94
59;Saúde;21085,62;19576,72;72437,38;24944,56;30819,99;15983,44;188082,21;183210,26
60;Vila Mariana;11870,76;12721,88;43946,74;14968,95;27230,22;10731,85;134044,88;128212,74
61;Vila Mariana;901,98;894,33;3454,32;106,64;8720,65;991,81;29060,18;29670,56
62;Jardim Paulista;16203,80;15270,64;61300,94;11747,18;43670,32;15050,00;197993,23;196478,93
63;Jardim América;2131,16;1952,45;8588,59;710,91;7310,56;3680,45;34490,24;32395,90
64;Jardim América;10058,13;9734,74;35205,78;10973,14;22211,21;10530,69;104639,41;101603,79
65;Perdizes;8199,83;7467,97;29386,50;5096,13;11023,45;9195,60;58556,79;54553,11
66;Perdizes;18118,70;16797,10;59493,78;20155,67;33555,39;19414,10;175972,77;174764,18
67;Barra Funda;2669,76;2760,00;10403,55;2295,97;31021,88;1934,62;63201,65;63180,64
68;Casa Verde;9786,35;9362,91;34890,96;11864,61;15809,07;5570,87;91925,52;94191,76
69;Santana;8703,01;8297,32;34460,61;9512,89;15896,01;8107,94;102470,18;102207,55
70;Santana;11587,90;11087,31;42624,81;7852,56;10546,44;10403,61;82361,47;82916,88
71;Vila Guilherme;14711,51;15173,37;57980,00;16014,76;14032,41;11631,29;92382,25;92886,77
72;Vila Maria;18812,59;17840,19;71826,44;12323,18;13609,17;10124,72;91940,46;92525,29
73;Tatuapé;6726,78;5909,17;21108,45;6947,08;21084,33;5076,11;73110,48;72770,50
74;Tatuapé;12879,81;12988,47;49482,82;7655,05;18915,84;10191,17;76529,31;77807,16
75;Vila Formosa;7670,91;7596,55;30562,25;7339,48;5328,28;6042,50;46781,60;47838,18
76;Vila Prudente;11054,81;10418,60;50222,99;7345,86;4862,06;2934,21;56648,49;56870,35
77;Vila Prudente;15709,88;15308,89;76433,33;9129,27;5635,99;6505,59;96104,96;94000,98
78;Vila Prudente;11450,81;11672,74;49957,02;8688,25;3982,06;4174,01;66055,30;66949,21
79;Santo André;9174,77;8761,16;33195,39;11855,21;14521,09;4804,78;77233,55;77290,92
80;São Caetano do Sul;8105,85;7806,57;27575,64;13171,66;41566,68;6407,08;165517,33;166633,80
81;Ipiranga;11705,96;10969,10;42937,26;10780,62;19498,88;6757,74;98635,22;96736,90
82;Saúde;16075,69;14996,75;70386,01;22295,60;15875,59;16184,23;141676,48;139620,78
83;Saúde;16513,08;16343,08;75781,18;17459,71;18602,55;17422,00;147930,21;148915,76
84;Indianópolis;6456,53;6107,45;26818,78;6033,96;9600,76;8858,32;69869,29;68831,01
85;Indianópolis;13744,24;12596,10;50954,64;19247,26;39737,87;17145,79;203644,77;207303,74
86;Jardim América;3929,51;3612,14;15980,11;551,07;18193,65;6013,27;79208,86;80853,04
87;Pinheiros;12260,66;11726,51;42724,23;10656,81;34520,40;11681,57;179034,01;181505,50
88;Vila Madalena;8454,57;8251,55;29215,76;5386,12;6466,72;6622,01;48279,14;49523,50
89;Perdizes;15758,56;13771,22;54254,42;5953,27;11041,64;13425,40;91231,15;90889,52
90;Lapa;7052,92;7771,61;25287,66;17158,20;39214,82;6675,26;208994,81;209744,10
91;Lapa;3221,30;3418,51;12283,57;1291,56;20512,40;2778,83;49456,67;49336,55
92;Limão;11470,03;11859,99;51332,43;11733,46;14691,71;7608,49;97404,31;97894,49
93;Casa Verde;7929,53;7790,34;32813,70;6202,45;5149,79;5185,62;44260,58;44454,52
