ZONA;Ônibus;Fretado;Escolar;Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
 379 ;3213;3174;78;4022;0;219;4554;140;661;18418;0;34479
 380 ;1081;24;246;241;0;0;532;0;0;1412;0;3536
 381 ;1685;126;0;0;0;0;0;0;0;222;0;2033
 382 ;2881;179;202;967;0;968;0;0;0;2470;0;7669
 383 ;3596;44;1060;2206;0;193;135;0;155;11118;404;18911
 384 ;2719;1038;0;3850;0;0;60;0;91;13817;88;21663
 385 ;5801;276;2751;4769;0;0;68;0;0;15265;301;29232
 386 ;0;0;0;101;0;0;0;0;0;0;0;101
 387 ;4151;1109;0;1409;0;0;0;0;0;11629;143;18442
 388 ;5017;749;1672;15071;0;143;0;572;2861;26387;0;52471
 389 ;497;0;22;1175;0;67;64;0;22;1226;0;3074
