ZONA;Ônibus;Transporte Fretado;Transporte Escolar;Dirigindo Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
363;46556,42;2092,84;7486,26;46930,26;1396,97;3798,70;8290,65;6275,71;3235,23;90915,41;1390,49;218368,94
364;4519,63;849,37;4416,73;5811,33;0,00;0,00;1546,43;270,66;1127,10;20051,94;450,25;39043,42
365;3853,17;2952,86;2264,88;2783,94;0,00;87,03;1109,43;454,00;539,26;10460,98;0,00;24505,54
366;47212,37;3391,21;3889,52;67470,79;0,00;2741,64;3803,11;5352,48;2825,28;76803,14;646,44;214135,97
367;22981,62;2350,91;2599,61;30612,52;53,18;661,26;4727,55;2506,36;1283,16;16118,12;0,00;83894,27
368;18637,09;2775,92;546,24;41033,93;0,00;1063,17;2356,47;2502,91;1331,73;13156,07;0,00;83403,52
369;42584,08;4345,12;2234,85;41907,39;0,00;493,39;3673,19;7351,97;5829,55;65738,97;0,00;174158,50
370;8989,77;343,67;0,00;6377,96;0,00;847,06;2380,50;880,02;3745,97;37373,57;0,00;60938,52
371;1254,05;39,19;78,38;1141,84;117,57;221,35;1345,95;352,70;78,38;8072,96;0,00;12702,37
372;1704,40;1375,20;159,53;4337,84;0,00;42,91;99,45;785,23;1637,77;4608,11;411,95;15162,39
373;4104,99;87,29;174,57;3370,61;0,00;0,00;665,91;179,07;328,71;8277,89;0,00;17189,03
374;9942,80;534,80;401,10;18363,07;0,00;107,88;99,16;2970,89;2674,01;19670,99;0,00;54764,72
375;5562,97;1721,34;0,00;3209,71;0,00;0,00;111,95;119,71;0,00;22227,53;110,50;33063,72
376;4837,00;1061,07;179,24;8510,33;0,00;144,63;0,00;716,29;803,57;24119,67;0,00;40371,79
377;3256,56;0,00;0,00;7979,91;0,00;0,00;0,00;0,00;577,74;17707,18;0,00;29521,40
378;2043,48;1292,12;2987,46;7317,45;0,00;0,00;596,69;0,00;2228,50;23683,30;0,00;40148,98
379;15310,50;6511,70;4509,44;64639,29;0,00;587,75;3146,89;3613,69;284,68;39345,29;765,02;138714,25
380;35672,77;2702,58;4811,60;106388,18;0,00;992,83;2808,64;5793,88;1167,42;65975,69;0,00;226313,60
381;4767,55;120,66;302,52;5744,67;0,00;98,40;539,76;1100,06;149,21;5162,01;0,00;17984,84
382;12298,08;1448,22;2226,80;32026,39;69,07;1515,10;3351,21;1551,66;923,39;19501,45;290,88;75202,25
383;114896,72;7497,12;6893,72;127201,84;317,66;3108,06;8322,41;10317,10;1994,08;75528,78;0,00;356077,52
384;24689,22;1688,56;1406,37;66766,52;497,18;1227,41;3282,73;4980,33;1181,43;30651,98;0,00;136371,72
385;11715,66;684,79;1930,30;44296,09;0,00;1458,66;3300,51;2008,09;466,42;24537,33;68,16;90466,02
386;16675,16;1451,15;2229,13;30732,27;0,00;1129,51;1825,49;2709,37;1238,79;26865,72;222,72;85079,32
387;19090,69;1496,81;3906,28;56269,68;339,52;2600,73;520,52;2101,64;908,20;26617,51;0,00;113851,59
388;31542,71;4588,52;10123,25;69315,95;0,00;647,80;2917,55;1043,49;1293,09;75720,84;0,00;197193,20
389;80076,93;12004,76;7833,32;107917,46;0,00;4372,94;5765,36;9871,39;1061,34;101987,13;1061,34;331951,96
390;34888,84;5932,69;3876,09;33767,56;0,00;680,89;2289,51;8861,01;2785,20;92709,08;2066,38;187857,26
391;902,43;291,53;287,96;778,43;0,00;67,23;465,36;27,36;85,67;1786,39;57,19;4749,56
392;17062,34;8037,92;2852,15;25235,23;0,00;1583,56;2822,13;5778,11;0,00;25572,07;176,08;89119,59
393;43439,94;6119,67;3901,80;58673,35;0,00;4092,83;12479,79;5184,87;1385,42;114765,66;0,00;250043,32
394;46414,79;4447,45;8011,36;67396,92;0,00;8763,91;25100,38;6789,71;1364,38;242124,12;0,00;410413,03
395;7731,95;832,04;1530,70;4231,58;0,00;369,07;1165,45;360,37;0,00;15948,91;0,00;32170,08
396;22918,29;4707,62;7020,28;51962,32;432,93;1417,60;11835,92;1992,22;104,19;63868,98;0,00;166260,35
397;6751,00;1423,06;1767,10;3323,40;0,00;397,20;2407,08;1112,26;0,00;16231,07;0,00;33412,17
398;3115,44;1294,75;1586,74;5667,03;52,65;83,54;391,39;743,36;529,33;4569,57;101,77;18135,56
399;2175,98;339,76;328,88;3820,87;0,00;321,11;1175,99;132,54;0,00;7819,53;0,00;16114,65
400;4229,41;1837,72;3018,64;7625,18;0,00;959,27;5281,63;301,62;829,35;22120,70;0,00;46203,52
401;37843,67;10066,23;6082,75;77606,88;0,00;3649,58;1379,25;1904,31;1764,44;63242,59;364,23;203903,94
402;67136,93;23232,94;4838,02;119996,25;0,00;4922,45;1726,58;8746,76;3005,95;57486,09;1165,87;292257,86
403;156728,63;9065,84;10849,19;208445,70;1211,22;3832,38;2679,90;12190,64;3945,46;75667,49;0,00;484616,45
404;96516,14;20861,30;14027,14;134442,71;0,00;416,46;166,59;11271,71;3528,87;135497,48;0,00;416728,40
405;17217,67;4335,89;676,01;15616,16;0,00;0,00;320,04;1881,66;688,37;28412,64;0,00;69148,44
406;1514,02;2014,74;2267,33;3397,74;0,00;0,00;0,00;0,00;0,00;688,37;0,00;9882,19
407;65553,75;13394,89;10676,50;31869,19;0,00;83,80;1413,73;5395,71;3178,86;79956,17;23,48;211546,08
408;76791,90;2207,24;8028,83;104092,13;0,00;11176,92;0,00;11187,19;2207,24;161238,36;0,00;376929,81
409;64175,85;8686,14;10043,36;64467,37;0,00;5068,83;704,51;11763,12;3851,79;114263,15;194,12;283218,23
410;29587,10;501,50;6459,80;22303,33;0,00;2123,80;447,09;83,55;1965,73;59149,73;0,00;122621,63
411;36688,46;1449,44;8212,02;34729,63;0,00;971,04;0,00;4719,11;460,29;26080,62;0,00;113310,60
412;86320,72;2858,21;14491,11;46215,76;0,00;3201,14;55,35;5064,57;69,83;104877,63;2489,87;265644,17
413;32264,57;4349,42;1304,07;24093,36;0,00;3437,20;788,36;3096,85;0,00;42196,60;0,00;111530,44
414;23401,43;1847,04;447,92;20360,89;0,00;2826,57;160,66;2103,75;1298,76;40030,65;91,17;92568,85
415;4233,28;188,49;743,98;4011,89;0,00;76,05;0,00;357,27;462,00;7081,46;0,00;17154,41
416;51650,47;3909,10;19715,78;46663,91;0,00;6543,15;1811,17;3613,35;961,98;96508,10;961,98;232338,99
417;1156,06;212,64;1059,05;539,86;0,00;0,00;0,00;0,00;0,00;97,08;0,00;3064,69
418;490,00;137,78;194,15;1247,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2069,80
419;4130,87;520,30;5238,46;5170,98;0,00;0,00;0,00;782,21;775,55;14628,24;0,00;31246,61
420;11194,15;1160,68;2174,27;16313,85;512,02;212,42;239,41;1167,93;961,98;33345,15;0,00;67281,84
421;6848,38;920,70;1322,22;6346,77;0,00;531,72;121,85;398,38;521,18;15089,55;0,00;32100,76
422;282,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;282,49
423;5759,17;928,87;13521,55;3027,11;0,00;460,05;0,00;523,82;349,21;13685,01;0,00;38254,79
424;40137,99;1535,60;12905,64;36912,61;44,86;3718,03;3933,49;4872,28;3453,64;50165,63;0,00;157679,78
425;25344,01;2188,19;11956,27;16533,93;156,85;1257,73;3313,66;2453,21;837,11;22528,27;0,00;86569,22
426;41309,51;7093,68;687,38;25138,52;9,88;2119,52;1052,15;9460,53;513,16;2262,61;1267,48;90914,43
427;996,44;0,00;0,00;1818,57;0,00;0,00;0,00;0,00;0,00;2161,26;0,00;4976,26
428;8126,33;898,13;4375,07;10398,24;0,00;542,94;1708,41;440,76;233,84;14236,19;0,00;40959,91
429;13076,55;1203,80;8842,29;10617,71;0,00;991,52;4744,53;1204,88;816,47;36506,76;0,00;78004,50
430;5559,88;597,60;2815,52;6722,72;0,00;512,13;3602,64;1273,66;236,85;8663,17;140,05;30124,22
431;1817,37;664,11;0,00;1893,87;0,00;0,00;3012,24;0,00;0,00;44,86;0,00;7432,46
432;63851,25;4808,93;14661,12;68815,64;0,00;7220,37;22544,48;5434,85;118,43;128889,63;3200,78;319545,49
433;17480,11;378,24;4704,87;11299,03;0,00;2938,56;8345,20;1792,89;0,00;33165,70;0,00;80104,60
