ZONA; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Lotação ; Metrô ; Trem ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 356 ;24983,40;3855,50;3258,62;8330,20;301,03;0,00;3994,44;20463,83;3090,33;1580,25;105622,37;3029,98;178509,95
 357 ;1452,03;845,13;401,86;1025,73;0,00;151,87;0,00;209,11;0,00;0,00;9164,36;276,87;13526,95
 358 ;584,04;0,00;205,31;960,16;0,00;0,00;8,87;0,00;0,00;179,93;922,75;121,17;2982,24
 359 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 360 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 361 ;27980,17;2188,04;972,46;9975,46;729,35;1215,58;4233,59;24783,82;0,00;486,23;85798,36;0,00;158363,06
 362 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 363 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 364 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 365 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 366 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 367 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 368 ;5726,29;1238,65;0,00;17854,32;321,53;1125,35;482,29;0,00;0,00;7073,64;57126,73;2279,02;93227,82
 369 ;701,79;36,76;73,07;3596,51;0,00;0,00;66,52;0,00;0,00;218,30;1375,32;0,00;6068,26
 370 ;1928,42;406,92;0,00;5917,76;0,00;237,83;55,33;0,00;502,83;4763,86;10815,19;821,47;25449,62
 371 ;22711,38;703,91;316,37;21144,73;526,95;249,63;1461,71;1567,57;158,18;1053,89;51664,47;0,00;101558,80
 372 ;68095,75;7303,42;8898,78;204791,59;433,78;440,07;3313,55;10142,78;5645,03;5149,93;83431,65;1528,19;399174,53
 373 ;5563,87;855,05;0,00;11777,48;0,00;147,69;100,72;623,93;51,06;764,95;12620,14;0,00;32504,88
 374 ;1327,23;185,50;0,00;709,98;0,00;0,00;35,70;0,00;0,00;124,95;2478,78;0,00;4862,14
 375 ;8971,33;655,25;51,06;5505,51;102,12;305,73;51,06;133,32;394,66;1612,12;4033,07;407,54;22222,75
 376 ;3732,01;1444,71;0,00;6992,99;0,00;0,00;65,83;154,15;0,00;118,07;17968,39;250,16;30726,32
 377 ;2911,77;80,39;0,00;3547,29;0,00;279,56;33,79;0,00;93,19;1423,15;8290,66;342,54;17002,32
 378 ;897,67;110,33;142,59;1100,71;0,00;0,00;0,00;1142,80;0,00;34,51;2176,95;0,00;5605,56
 379 ;2809,89;3095,95;78,07;3944,03;0,00;210,42;140,28;5302,56;140,28;660,59;18417,68;0,00;34799,73
 380 ;1170,84;23,76;0,00;487,05;0,00;0,00;0,00;352,35;0,00;0,00;1412,33;0,00;3446,33
 381 ;2153,19;125,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2278,91
 382 ;2975,15;179,48;381,84;709,16;0,00;0,00;968,25;0,00;0,00;0,00;2470,46;0,00;7684,35
 383 ;3162,79;43,52;1059,85;2455,07;0,00;125,30;236,74;81,79;0,00;155,49;11117,64;404,33;18842,52
 384 ;2140,84;967,49;0,00;3825,09;0,00;496,19;45,69;0,00;0,00;91,38;13862,89;42,02;21471,60
 385 ;4921,17;347,11;2751,16;4629,38;0,00;1149,94;0,00;0,00;0,00;0,00;15219,59;301,05;29319,40
 386 ;0,00;0,00;0,00;101,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;101,13
 387 ;4723,85;1252,34;0,00;1265,87;0,00;0,00;0,00;0,00;0,00;0,00;10913,25;143,12;18298,44
 388 ;4648,05;748,75;1671,77;14880,91;0,00;369,16;142,94;0,00;571,74;3045,40;26387,02;0,00;52465,73
 389 ;521,65;0,00;119,97;1079,31;0,00;0,00;44,77;63,71;0,00;22,39;1177,26;0,00;3029,06
