ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
199;5838,88;368,28;178,26;205,37;11824,75;970,49;0,00;482,85;91,40;413,60;0,00;14157,05;308,95;0,00;34839,88
200;7201,80;186,84;501,19;1094,68;6741,82;0,00;0,00;384,84;0,00;0,00;0,00;7518,32;0,00;0,00;23629,49
201;2680,58;0,00;0,00;64,35;2520,96;0,00;0,00;886,55;0,00;205,54;475,43;3488,42;0,00;0,00;10321,83
202;2897,65;54,21;54,21;0,00;989,42;0,00;0,00;756,21;1299,38;0,00;67,83;10814,24;200,09;0,00;17133,24
203;17898,85;101,78;1387,70;523,32;39482,08;88,54;0,00;1880,41;311,36;943,74;77,01;25509,19;0,00;1119,79;89323,77
204;36070,76;0,00;3207,49;1617,19;19310,84;175,53;0,00;636,53;101,46;739,66;1030,74;47943,68;261,37;0,00;111095,25
205;2427,32;140,10;0,00;0,00;4630,84;0,00;333,46;180,30;250,70;173,19;0,00;101,18;0,00;0,00;8237,09
206;2087,67;242,03;168,08;0,00;6819,42;159,17;0,00;1355,47;208,45;0,00;52,66;829,11;0,00;0,00;11922,06
207;918,35;0,00;788,35;0,00;1990,58;0,00;0,00;469,26;0,00;0,00;0,00;1042,80;0,00;0,00;5209,34
208;5673,13;0,00;0,00;0,00;8577,58;1200,45;0,00;1139,38;137,00;114,25;0,00;668,75;0,00;536,94;18047,48
209;174,30;0,00;0,00;0,00;833,23;0,00;0,00;0,00;0,00;0,00;0,00;70,42;0,00;0,00;1077,95
210;14536,71;0,00;2147,51;0,00;30908,92;0,00;0,00;3140,21;755,61;1085,71;322,94;1504,03;0,00;232,15;54633,79
211;463,55;0,00;180,93;149,50;193,17;0,00;0,00;0,00;224,45;0,00;0,00;460,61;187,90;0,00;1860,11
212;4765,13;126,49;2779,91;0,00;6804,20;477,20;82,07;954,77;0,00;0,00;0,00;1255,83;639,59;306,92;18192,11
213;422,39;0,00;159,74;0,00;2549,23;0,00;0,00;161,22;190,13;0,00;88,48;2785,75;283,81;0,00;6640,75
214;728,09;0,00;121,37;0,00;282,56;0,00;0,00;0,00;24,87;0,00;0,00;374,02;65,75;0,00;1596,66
215;1038,16;0,00;679,45;0,00;821,55;0,00;0,00;0,00;0,00;0,00;0,00;280,04;190,13;0,00;3009,33
216;287,72;0,00;0,00;0,00;465,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;128,26;0,00;881,12
217;2289,59;0,00;195,30;0,00;378,23;0,00;0,00;194,75;0,00;0,00;0,00;3657,14;0,00;0,00;6715,01
218;0,00;0,00;0,00;0,00;93,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;93,03
219;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;106,89;0,00;0,00;106,89
220;0,00;0,00;525,41;0,00;0,00;0,00;0,00;0,00;190,13;0,00;0,00;0,00;0,00;137,00;852,54
221;252,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;137,00;0,00;0,00;0,00;389,34
222;369,47;0,00;0,00;0,00;63,66;0,00;0,00;0,00;0,00;0,00;0,00;274,00;0,00;0,00;707,13
223;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
224;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
225;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
226;0,00;0,00;0,00;0,00;806,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;806,10
227;322,44;0,00;0,00;0,00;412,63;0,00;0,00;0,00;0,00;0,00;0,00;161,22;0,00;0,00;896,29
228;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
229;0,00;0,00;769,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;769,79
230;258,96;0,00;0,00;0,00;910,36;117,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1286,86
231;509,19;0,00;671,85;117,54;371,00;0,00;0,00;0,00;0,00;0,00;0,00;470,16;0,00;0,00;2139,74
232;432,15;0,00;258,96;0,00;785,17;0,00;0,00;0,00;297,22;0,00;141,42;141,42;141,42;0,00;2197,76
233;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
234;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
235;182,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;182,72
236;2583,54;0,00;643,02;0,00;1037,32;0,00;0,00;0,00;0,00;0,00;797,07;1206,65;57,60;0,00;6325,20
237;366,16;0,00;378,89;0,00;1049,55;0,00;0,00;0,00;214,33;0,00;0,00;237,36;69,25;0,00;2315,54
238;147,45;0,00;289,08;0,00;1369,89;0,00;0,00;0,00;121,30;47,15;0,00;0,00;0,00;0,00;1974,87
239;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
240;912,29;0,00;1593,98;0,00;539,52;0,00;0,00;0,00;609,45;219,71;0,00;7831,06;87,27;0,00;11793,28
241;0,00;0,00;1191,90;0,00;222,82;0,00;0,00;0,00;310,68;0,00;0,00;0,00;0,00;0,00;1725,40
242;0,00;0,00;0,00;0,00;0,00;0,00;0,00;120,29;0,00;0,00;0,00;2871,12;0,00;0,00;2991,41
243;208,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;208,14
244;442,82;0,00;1676,66;0,00;417,07;0,00;0,00;0,00;815,74;0,00;0,00;2861,63;0,00;0,00;6213,92
245;1496,61;0,00;689,29;0,00;490,90;0,00;0,00;0,00;265,15;121,00;0,00;857,90;0,00;0,00;3920,85
246;505,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;592,42;0,00;0,00;1097,83
247;1868,67;0,00;0,00;0,00;1026,56;0,00;0,00;0,00;0,00;0,00;0,00;3489,66;0,00;0,00;6384,89
248;376,92;0,00;0,00;0,00;278,80;0,00;0,00;0,00;0,00;0,00;53,59;107,18;0,00;0,00;816,49
249;140,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;140,70
250;580,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;184,55;0,00;0,00;65,75;0,00;0,00;830,75
251;1449,32;0,00;963,90;0,00;1333,85;0,00;0,00;0,00;251,41;0,00;0,00;405,65;216,09;0,00;4620,22
252;0,00;0,00;0,00;0,00;749,10;0,00;0,00;0,00;216,82;0,00;0,00;0,00;0,00;81,67;1047,59
253;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;190,08;0,00;0,00;190,08
254;0,00;0,00;0,00;0,00;168,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168,72
